"Food","Freq","Total","1","3","5"
"Carbs","<4x","684 (10.72%)","263 (12.7%)","208 (10.11%)","213 (9.45%)"
"Carbs","4-7x","1909 (29.91%)","655 (31.63%)","603 (29.31%)","651 (28.88%)"
"Carbs","8+x","3789 (59.37%)","1153 (55.67%)","1246 (60.57%)","1390 (61.67%)"
"Veg","Never","908 (14.23%)","289 (13.95%)","274 (13.32%)","345 (15.31%)"
"Veg","1x","557 (8.73%)","163 (7.87%)","186 (9.04%)","208 (9.23%)"
"Veg","2-3x","1568 (24.57%)","503 (24.29%)","476 (23.14%)","589 (26.13%)"
"Veg","4-7x","2081 (32.61%)","682 (32.93%)","685 (33.3%)","714 (31.68%)"
"Veg","8+x","1268 (19.87%)","434 (20.96%)","436 (21.2%)","398 (17.66%)"
"Fruit","<2x","1059 (16.59%)","386 (18.64%)","295 (14.34%)","378 (16.77%)"
"Fruit","2-3x","1324 (20.75%)","427 (20.62%)","399 (19.4%)","498 (22.09%)"
"Fruit","4-7x","2098 (32.87%)","673 (32.5%)","697 (33.88%)","728 (32.3%)"
"Fruit","8+x","1901 (29.79%)","585 (28.25%)","666 (32.38%)","650 (28.84%)"
"Protein","<4x","877 (13.74%)","370 (17.87%)","257 (12.49%)","250 (11.09%)"
"Protein","4-7x","2063 (32.33%)","681 (32.88%)","683 (33.2%)","699 (31.01%)"
"Protein","8+x","3442 (53.93%)","1020 (49.25%)","1117 (54.3%)","1305 (57.9%)"
"Dairy","<2x","636 (9.97%)","221 (10.67%)","173 (8.41%)","242 (10.74%)"
"Dairy","2-3x","770 (12.07%)","215 (10.38%)","238 (11.57%)","317 (14.06%)"
"Dairy","4-7x","1701 (26.65%)","460 (22.21%)","571 (27.76%)","670 (29.72%)"
"Dairy","8+x","3275 (51.32%)","1175 (56.74%)","1075 (52.26%)","1025 (45.47%)"
"Fats","Never","944 (14.79%)","492 (23.76%)","219 (10.65%)","233 (10.34%)"
"Fats","1x","811 (12.71%)","277 (13.38%)","250 (12.15%)","284 (12.6%)"
"Fats","2-3x","1720 (26.95%)","517 (24.96%)","591 (28.73%)","612 (27.15%)"
"Fats","4-7x","1689 (26.47%)","485 (23.42%)","584 (28.39%)","620 (27.51%)"
"Fats","8+x","1218 (19.08%)","300 (14.49%)","413 (20.08%)","505 (22.4%)"
"Sugars","Never","664 (10.4%)","313 (15.11%)","171 (8.31%)","180 (7.99%)"
"Sugars","1x","643 (10.08%)","302 (14.58%)","167 (8.12%)","174 (7.72%)"
"Sugars","2-3x","1317 (20.64%)","473 (22.84%)","437 (21.24%)","407 (18.06%)"
"Sugars","4-7x","1700 (26.64%)","479 (23.13%)","604 (29.36%)","617 (27.37%)"
"Sugars","8+x","2058 (32.25%)","504 (24.34%)","678 (32.96%)","876 (38.86%)"
"Soda","Never","2807 (43.98%)","1080 (52.15%)","835 (40.59%)","892 (39.57%)"
"Soda","1x","1384 (21.69%)","453 (21.87%)","453 (22.02%)","478 (21.21%)"
"Soda","2-3x","1237 (19.38%)","312 (15.07%)","442 (21.49%)","483 (21.43%)"
"Soda","4-7x","669 (10.48%)","171 (8.26%)","225 (10.94%)","273 (12.11%)"
"Soda","8+x","285 (4.47%)","55 (2.66%)","102 (4.96%)","128 (5.68%)"
"Juice","<2x","444 (6.96%)","181 (8.74%)","114 (5.54%)","149 (6.61%)"
"Juice","2-3x","595 (9.32%)","208 (10.04%)","193 (9.38%)","194 (8.61%)"
"Juice","4-7x","1422 (22.28%)","493 (23.8%)","458 (22.27%)","471 (20.9%)"
"Juice","8+x","3921 (61.44%)","1189 (57.41%)","1292 (62.81%)","1440 (63.89%)"
